no	coord	coordx	coordy	median.elevation	forest.percent	water.percent
1	485109	485	109	340	6	0
2	485110	485	110	340	11	1
3	486109	486	109	380	4	0
4	486110	486	110	390	72	3
5	486111	486	111	357	9	7
6	486112	486	112	357	5	5
7	486116	486	116	500	0	0
8	486117	486	117	472	43	0
9	486118	486	118	462	6	0
10	486119	486	119	472	0	0
11	487110	487	110	401	30	0
12	487111	487	111	362	12	0
13	487112	487	112	367	4	0
14	487113	487	113	379	5	7
15	487114	487	114	382	12	9
16	487116	487	116	483	0	0
17	487117	487	117	464	30	0
18	487118	487	118	456	14	0
19	487119	487	119	450	4	0
20	488111	488	111	390	2	1
21	488112	488	112	414	8	0
22	488113	488	113	411	2	0
23	488114	488	114	364	7	9
24	488115	488	115	394	7	4
25	488116	488	116	422	2	0
26	488117	488	117	435	28	3
27	488118	488	118	416	33	1
28	488119	488	119	420	22	1
29	488120	488	120	430	2	0
30	489111	489	111	408	5	0
31	489112	489	112	425	1	0
32	489113	489	113	426	0	0
33	489114	489	114	415	21	8
34	489115	489	115	369	15	2
35	489116	489	116	393	36	5
36	489117	489	117	425	27	5
37	489118	489	118	455	27	0
38	489119	489	119	449	60	0
39	489120	489	120	428	29	0
40	490110	490	110	431	1	0
41	490111	490	111	436	6	1
42	490112	490	112	436	0	0
43	490113	490	113	431	6	0
44	490114	490	114	428	16	0
45	490115	490	115	365	27	16
46	490116	490	116	391	1	0
47	490117	490	117	418	18	0
48	490118	490	118	461	0	0
49	490119	490	119	487	4	0
50	490120	490	120	451	13	0
51	490121	490	121	436	3	0
52	491110	491	110	447	5	0
53	491111	491	111	445	0	0
54	491112	491	112	439	1	1
55	491113	491	113	442	0	0
56	491114	491	114	434	4	0
57	491115	491	115	406	37	2
58	491116	491	116	372	30	17
59	491117	491	117	394	8	22
60	491118	491	118	416	3	0
61	491119	491	119	456	1	0
62	491120	491	120	479	1	0
63	491121	491	121	448	0	0
64	492110	492	110	457	0	0
65	492111	492	111	449	0	0
66	492112	492	112	452	7	0
67	492113	492	113	453	20	0
68	492114	492	114	433	5	0
69	492115	492	115	412	38	0
70	492116	492	116	376	9	17
71	492117	492	117	377	5	15
72	492118	492	118	412	55	1
73	492119	492	119	417	2	2
74	492120	492	120	435	1	0
75	492121	492	121	455	0	0
76	493112	493	112	421	2	0
77	493113	493	113	453	0	0
78	493114	493	114	441	0	0
79	493115	493	115	406	10	0
80	493116	493	116	398	40	21
81	493117	493	117	384	3	0
82	493118	493	118	419	52	0
83	493119	493	119	426	0	0
84	493120	493	120	420	0	0
85	493121	493	121	436	2	0
86	493122	493	122	450	17	0
87	494111	494	111	424	3	0
88	494112	494	112	416	5	3
89	494113	494	113	422	0	1
90	494114	494	114	464	0	0
91	494115	494	115	417	2	0
92	494116	494	116	402	37	3
93	494117	494	117	388	33	19
94	494118	494	118	422	7	0
95	494119	494	119	433	0	0
96	494120	494	120	435	1	0
97	494121	494	121	421	6	0
98	494122	494	122	426	6	0
99	494141	494	141	1306	17	0
100	494142	494	142	1311	5	0
101	495111	495	111	441	0	0
102	495112	495	112	433	0	0
103	495113	495	113	408	4	2
104	495114	495	114	425	2	0
105	495115	495	115	428	0	0
106	495116	495	116	412	51	5
107	495117	495	117	397	19	14
108	495118	495	118	389	17	13
109	495119	495	119	437	1	0
110	495120	495	120	435	1	0
111	495121	495	121	435	1	0
112	495122	495	122	425	7	1
113	495141	495	141	1348	6	0
114	495142	495	142	1388	34	0
115	495143	495	143	1290	16	0
116	495144	495	144	1236	0	0
117	495145	495	145	1235	34	0
118	495146	495	146	1208	19	0
119	495147	495	147	1169	7	0
120	496111	496	111	466	0	0
121	496112	496	112	439	0	0
122	496113	496	113	406	0	0
123	496114	496	114	401	5	2
124	496115	496	115	426	0	0
125	496116	496	116	396	30	10
126	496117	496	117	399	10	5
127	496118	496	118	406	41	10
128	496119	496	119	416	12	0
129	496120	496	120	425	1	0
130	496121	496	121	429	3	0
131	496122	496	122	429	0	0
132	496140	496	140	1389	8	0
133	496141	496	141	1473	21	0
134	496142	496	142	1467	67	0
135	496143	496	143	1411	39	0
136	496144	496	144	1248	13	0
137	496145	496	145	1231	69	0
138	496146	496	146	1280	54	0
139	496147	496	147	1223	26	0
140	496148	496	148	1192	9	0
141	497111	497	111	471	0	0
142	497112	497	112	459	0	0
143	497113	497	113	417	0	0
144	497114	497	114	399	4	0
145	497115	497	115	415	4	0
146	497116	497	116	419	2	0
147	497117	497	117	405	15	11
148	497118	497	118	450	0	0
149	497119	497	119	427	1	0
150	497120	497	120	425	1	0
151	497121	497	121	421	0	0
152	497122	497	122	420	0	0
153	497124	497	124	433	0	0
154	497125	497	125	452	0	1
155	497126	497	126	466	6	0
156	497127	497	127	472	22	0
157	497139	497	139	1210	17	0
158	497140	497	140	1301	71	0
159	497141	497	141	1461	64	0
160	497142	497	142	1450	13	0
161	497143	497	143	1509	39	0
162	497144	497	144	1331	87	0
163	497145	497	145	1208	19	0
164	497146	497	146	1288	76	0
165	497147	497	147	1295	25	0
166	497148	497	148	1356	55	0
167	497149	497	149	1308	61	0
168	497150	497	150	1186	18	0
169	498110	498	110	490	0	0
170	498111	498	111	477	0	0
171	498112	498	112	463	0	0
172	498113	498	113	419	0	0
173	498114	498	114	397	0	0
174	498115	498	115	390	4	0
175	498116	498	116	407	2	0
176	498117	498	117	399	15	14
177	498118	498	118	416	0	0
178	498119	498	119	433	1	0
179	498120	498	120	450	0	0
180	498121	498	121	433	1	0
181	498122	498	122	414	0	0
182	498123	498	123	416	0	0
183	498124	498	124	425	2	0
184	498125	498	125	434	1	0
185	498126	498	126	445	21	0
186	498127	498	127	447	55	0
187	498128	498	128	458	50	0
188	498129	498	129	461	11	0
189	498130	498	130	466	2	0
190	498139	498	139	1022	72	0
191	498140	498	140	1201	89	0
192	498141	498	141	1256	99	0
193	498142	498	142	1443	66	0
194	498143	498	143	1409	54	0
195	498144	498	144	1290	81	0
196	498145	498	145	1215	67	0
197	498146	498	146	1297	67	0
198	498147	498	147	1360	63	0
199	498148	498	148	1456	26	0
200	498149	498	149	1507	45	0
201	498150	498	150	1339	86	0
202	498151	498	151	1226	48	0
203	498152	498	152	1154	12	0
204	498158	498	158	1273	11	0
205	498159	498	159	1310	44	0
206	499110	499	110	486	0	0
207	499111	499	111	470	1	0
208	499112	499	112	450	10	0
209	499113	499	113	422	4	0
210	499114	499	114	408	4	0
211	499115	499	115	385	0	0
212	499116	499	116	376	0	7
213	499117	499	117	375	1	11
214	499118	499	118	403	0	0
215	499119	499	119	408	0	0
216	499120	499	120	438	1	0
217	499121	499	121	450	2	0
218	499122	499	122	409	15	0
219	499123	499	123	407	10	0
220	499124	499	124	425	28	0
221	499125	499	125	425	8	0
222	499126	499	126	422	42	2
223	499127	499	127	433	83	1
224	499128	499	128	444	88	0
225	499129	499	129	455	50	0
226	499130	499	130	470	5	0
227	499131	499	131	468	12	3
228	499132	499	132	463	2	0
229	499138	499	138	626	39	0
230	499139	499	139	746	100	0
231	499140	499	140	931	100	0
232	499141	499	141	1141	100	0
