SurveyYear,RouteNumStopNum,JulianDate,Bfow,MinAfterSunset,Temperature
2001,211202.01,72,0,48,8.3
2001,211202.02,72,0,64,7.8
2001,211202.03,72,0,72,7.8
2001,211202.04,72,0,81,7.8
2001,211202.05,72,0,90,7.8
2001,211202.06,72,0,97,7.2
2001,211202.07,72,0,106,7.8
2001,211202.08,72,0,114,7.2
2001,211202.09,72,0,122,7.8
2001,211202.1,72,0,130,8.3
2001,211001.01,82,0,51,8.9
2001,211001.02,82,0,73,8.9
2001,211001.03,82,0,86,10
2001,211001.04,82,0,101,8.9
2001,211001.05,82,0,115,9.4
2001,211001.06,82,0,136,8.9
2001,211001.07,82,0,155,10
2001,211001.08,82,0,168,9.4
2001,211001.09,82,0,181,9.4
2001,211001.1,82,0,192,9.4
2001,210302.01,89,0,37,12.2
2001,210302.02,89,0,47,12.2
2001,210302.03,89,0,57,11.7
2001,210302.04,89,0,67,11.7
2001,210302.05,89,0,77,11.7
2001,210302.06,89,0,87,10.6
2001,210302.07,89,0,97,10.6
2001,210302.08,89,0,107,10
2001,210302.09,89,0,117,10
2001,210302.1,89,0,127,9.4
2001,210801.01,90,0,108,8
2001,210801.02,90,0,116,10
2001,210801.03,90,0,134,8
2001,210801.04,90,0,144,8
2001,210801.05,90,0,162,7
2001,210801.06,90,0,170,8
2001,210801.07,90,0,181,8
2001,210801.08,90,0,193,6.5
2001,210801.09,90,0,199,7
2001,210801.1,90,0,211,6
2001,210702.01,93,0,91,6
2001,210702.02,93,0,100,5
2001,210702.03,93,0,108,4
2001,210702.04,93,0,119,4
2001,210702.05,93,0,136,5
2001,210702.06,93,0,149,5
2001,210702.07,93,0,159,4
2001,210702.08,93,0,167,4
2001,210702.09,93,0,177,5
2001,210702.1,93,0,185,4
2001,211301.01,94,0,31,16
2001,211301.02,94,0,55,12
2001,211301.03,94,0,67,13
2001,211301.04,94,0,79,10
2001,211301.05,94,0,91,11
2001,211301.06,94,0,103,11
2001,211301.07,94,0,115,11
2001,211301.08,94,0,127,11
2001,211301.09,94,0,139,14
2001,211301.1,94,0,151,12
2001,210602.01,95,0,31,15
2001,210602.02,95,0,41,14
2001,210602.03,95,0,56,13
2001,210602.04,95,0,66,12
2001,210602.05,95,0,76,12
2001,210602.06,95,0,86,11
2001,210602.07,95,0,96,9
2001,210602.08,95,0,106,9
2001,210602.09,95,0,111,8
2001,210602.1,95,0,121,8
2001,211101.01,95,0,33,7
2001,211101.02,95,0,45,5.5
2001,211101.03,95,0,60,6.5
2001,211101.04,95,0,72,9
2001,211101.05,95,0,92,8
2001,211101.06,95,0,110,7
2001,211101.07,95,0,133,7
2001,211101.08,95,0,146,7
2001,211101.09,95,0,158,6.3
2001,211101.1,95,0,168,5
2001,211102.01,95,0,41,12
2001,211102.02,95,0,52,10
2001,211102.03,95,0,59,9
2001,211102.04,95,0,70,9
2001,211102.05,95,0,81,10
2001,211102.06,95,0,86,8
2001,211102.07,95,0,99,11
2001,211102.08,95,0,106,9
2001,211102.09,95,0,116,8
2001,211102.1,95,0,126,7
2001,210601.01,96,0,44,14.4
2001,210601.02,96,0,54,14.4
2001,210601.03,96,0,64,14.4
2001,210601.04,96,0,72,13.9
2001,210601.05,96,0,84,13.9
2001,210601.06,96,0,92,13.9
2001,210601.07,96,0,100,13.9
2001,210601.08,96,0,108,13.9
2001,210601.09,96,0,115,13.9
2001,210601.1,96,0,122,13.9
2001,210902.01,103,3,52,17
2001,210902.02,103,0,66,17
2001,210902.03,103,0,73,17
2001,210902.04,103,0,80,17
2001,210902.05,103,1,87,17
2001,210902.06,103,2,94,17
2001,210902.07,103,3,101,17
2001,210902.08,103,2,108,17
2001,210902.09,103,3,115,17
2001,210902.1,103,0,122,17
2001,210802.01,111,2,76,25
2001,210802.02,111,0,86,23
2001,210802.03,111,0,93,23
2001,210802.04,111,0,99,21
2001,210802.05,111,2,109,21
2001,210802.06,111,3,116,21
2001,210802.07,111,3,119,26
2001,210802.08,111,3,130,22
2001,210802.09,111,3,137,22
2001,210802.1,111,3,140,23
2001,210702.01,113,2,84,22
2001,210702.02,113,1,94,20
2001,210702.03,113,3,103,21
2001,210702.04,113,3,115,20
2001,210702.05,113,3,124,20
2001,210702.06,113,1,134,20
2001,210702.07,113,1,143,20
2001,210702.08,113,3,155,19
2001,210702.09,113,2,164,19
2001,210702.1,113,2,172,19
2001,211001.01,117,0,26,17.8
2001,211001.02,117,0,41,17.8
2001,211001.03,117,0,55,17.8
2001,211001.04,117,0,73,18.9
2001,211001.05,117,0,82,17.2
2001,211001.06,117,0,99,17.8
2001,211001.07,117,0,109,17.2
2001,211001.08,117,0,122,15.6
2001,211001.09,117,0,134,15.6
2001,211001.1,117,0,145,16.7
2001,210601.01,120,0,81,15.6
2001,210601.02,120,0,91,15.6
2001,210601.03,120,0,99,15.6
2001,210601.04,120,0,109,15.6
2001,210601.05,120,0,121,15.6
2001,210601.06,120,0,134,15.6
2001,210601.07,120,0,141,15
2001,210601.08,120,0,149,15
2001,210601.09,120,0,156,14.4
2001,210601.1,120,0,165,15
2001,211101.01,122,0,32,19
2001,211101.02,122,0,43,16.5
2001,211101.03,122,0,57,16.5
2001,211101.04,122,0,68,18
2001,211101.05,122,0,88,19.5
2001,211101.06,122,0,106,16.5
2001,211101.07,122,0,138,19
2001,211101.08,122,1,147,17.5
2001,211101.09,122,0,163,16
2001,211101.1,122,1,172,14
2001,210801.01,123,0,32,23.5
2001,210801.02,123,0,41,21.5
2001,210801.03,123,0,64,19
2001,210801.04,123,0,72,19.5
2001,210801.05,123,0,84,17.5
2001,210801.07,123,0,104,19.5
2001,210801.08,123,0,113,17.5
2001,210801.09,123,0,124,18
2001,210801.1,123,0,132,16.5
2001,211202.01,124,1,54,23.9
2001,211202.02,124,1,61,21.1
2001,211202.03,124,1,70,21.7
2001,211202.04,124,1,79,21.1
2001,211202.05,124,0,88,20.6
